id,name,thread 
379,Go to 6-2,"_______________________________________________________________________________第六章　　「ダリアの話」　　  　           　　　　　　　　                 6-2奇妙な情報を得たハリーは…                                    (Altar in church)Chapter 6   ""Dahlia's Story""After receiving the strange information, Harry..."
380,Page 1 (Black),I will...A ) Believe that woman's story.
381,Go to 6-3,B ) Her story was unclear and I don't understand it.I cannot just carelessly believe her.
382,Go to 6-4,"_______________________________________________________________________________第六章　　「ダリアの話」　　  　           　　　　　　　　                 6-3話を信用するハリー                                            (Altar in church)Chapter 6   ""Dahlia's Story""Harry believes her story"
383,Page 1 (Black),She lives here.I choose to believe her story without objection.
384,Go to 6-5,"_______________________________________________________________________________第六章　　「ダリアの話」　　  　           　　　　　　　　                 6-4迂闊に信用できない                                            (Altar in church)Chapter 6   ""Dahlia's Story""Harry cannot just carelessly believe her"
385,Page 1 (Black),I thought that that insane woman's behavior and the details of her story werequestionable.
386,Go to 6-5,"_______________________________________________________________________________第六章　　「教会」　　  　                 　　　　　　　　                 6-5一人取り残されて                                              (Altar in church)Chapter 6   ""Church""Left all alone"
387,Page 1 (Black),"All that remains in the church is the reverberations of the sound of a doorclosing.I go after that woman.I am convinced that that woman definitely knows some secret of some sort.However, the knob on the door that she went through will not turn at all.It must be locked from the other side."
388,Page 2,"""Damn!""Now I am the only one left in the church.Almost as if taken from a nightmare, this space has heat.This warmth, it feels like it is protecting me from something.That is the best way to describe the heat."
389,Page 3,I move away from the door and begin walking to the altar that woman was at.The object that the woman was just holding has been placed there.
390,Page 4 (Flauros and key on altar),The Flauros.That is certainly what that woman had called this.I try picking it up.And then I place it back on top of the desk right away.
391,Page 5,"It is power.The overwhelming power of the gods rests inside this four-sided object.It was a sensation like an electrical current passing into the palm of myhand, and then power moving throughout every nook and cranny in my body."
392,Page 6,"I pick it up once more.This time I calmly take it into my hand and then place it in my pocket.For some reason I am convinced that this object will help me find Cheryl.第六章　「教会」「フラウロスと鍵 」Chapter 6   ""Church""The Flauros and a key"
393,Page 7 (Black),"I pick up the key that was next to the Flauros, open the door of the church,and rush out into the heatless snow world again.第六章　「教会」「地図上の病院 」Chapter 6   ""Church""The hospital on the map"
394,"Page 8 (Street, heavy fog)","Hospital? That woman certainly said something about one.""Alchemilla Hospital""The only hospital I could find on the map was that one.I could see my breath as I exhaled while I headed toward theentertainment district."
395,Page 9 (Drawbridge tower),"The bridge to the entertainment district has been raised so that boats canpass by it in the river below. In other words, it is split in the middle,and is fixed in a raised position that makes it look like the Japanesekatakana character ハ.I enter the nearby drawbridge control room, place the key I was holdinginto the control panel, and forcefully turn it to the right."
396,Page 10,"While emitting a sound like an old woman laughing the bridge finallybegins to lower, inviting me to the entertainment district."
397,Go to 7-1,"_______________________________________________________________________________第七章　　「病院を探して」　　  　         　　　　　　　　                 7-1アルケミラ病院の所在                                            (Hospital gate)Chapter 7   ""Searching for the Hospital""The location of Alchemilla Hospital"
398,"Page 1 (Street corner, heavy fog)",After crossing the bridge I shudder.The temperature is gradually declining.Or maybe it is just a result of the thing inside me that producesnervousness and fear.
399,Page 2,On this wide road there is not a single motorcycle running.I am running right down the center of it.If I continue forward Alchemilla Hospital should be on the right.
400,Page 3 (Hospital gate),"An old building appears in the thick fog.On the signboard ""Alchemilla"" appears in faded letters.Its eeriness caused me to hesitate for an instant, but in the next momentI placed my hand on the cold gate."
401,Page 4,"I open the heavy hospital gate, and then open the door directly to my rightthat has ""Entrance"" written on it.第七章　「病院」「静寂に包まれた病院 」Chapter 7   ""Hospital""The hospital wrapped in silence"
402,Page 5 (Hospital reception area),"The inside of the hospital is wrapped in silence.To the left there is a reception area, in which various papers are neatlyplaced on a shelf.Waiting benches are lined up along the back of this hall, and atelevision is pointed at them."
403,Page 6,"I do not feel the presence of any patients, or even any people.Only faint light pours in through the windows from the cloudy sky.The hall is filled will a trace scent of alcohol, which penetrates my nose."
404,Page 7,I begin walking.After passing through the waiting room I reach a long corridor.I open the door marked Examination Room.
405,Page 8 (Examination room with Kaufmann),At almost the exact same time as I opened the door a man inside jumped upout of his chair.He is holding a handgun in his right hand.
406,Go to 7-2,"_______________________________________________________________________________第七章　　「銃を握った男」　　  　         　　　　　　　　                 7-2カウフマンと遭遇                       (Dead monster on examination room floor)Chapter 7   ""The Man with the Gun""Encounter with Kaufmann"
407,Page 1 (Examination room with Kaufmann),I...A ) hid behind the door in a panic.
408,Go to 7-3,B ) immediately counter attack with my gun.
409,Go to 7-4,"_______________________________________________________________________________第七章　　「銃を握った男」　　  　         　　　　　　　　                 7-3扉の陰に隠れるハリー                   (Dead monster on examination room floor)Chapter 7   ""The Man with the Gun""Harry hides behind the door"
410,Page 1 (Examination room with Kaufmann),"""Wait......""I hold my right hand out to try and stop the man.""Hold it... Stop!Don't shoot!Wait...I'm not here to fight."""
411,Page 2 (Kaufmann lowers his gun),"The man calms down and lowers his readied right arm.""My name is Harry Mason. I'm in town on vacation.""I said all of this without pausing, and then the man took a deep breathand began to speak."
412,Page 3,"""Thank god. Another human being.""""Do you work here?""I was truly relived.Silent Hill, which has become a habitat for strange monsters...Those words showed his candid questioning of the situation."
413,Go to 7-5,"_______________________________________________________________________________第七章　　「銃を握った男」　　  　         　　　　　　　　                 7-4銃で反撃するハリー                     (Dead monster on examination room floor)Chapter 7   ""The Man with the Gun""Harry counterattacks with his gun"
414,"Page 1 (Examination room with Kaufmann, he lowers his gun)","I instantly ready my gun.That plump man appeared to realize that I was a human,but as soon as he saw the gun his eyes grew wide."
415,Page 2,"""Hold it... Stop!Don't shoot! Wait...I'm not here to fight.""After I lowered my gun the man sat down in his chair in a way that showedthat he was relieved.""Thank god. Another human being."""
416,Page 3,"""My name is Harry Mason. I'm in town on vacation...Do you work here?"""
417,Page 4,"The man nodded.I was truly relieved.Silent Hill, which has become a habitat for strange monsters...This is my first contact with someone from this town."
418,Go to 7-5,"_______________________________________________________________________________第七章　　「カウフマン」　　    　         　　　　　　　　                 7-5街の異変について聞く                   (Dead monster on examination room floor)Chapter 7   ""Kaufmann""Asking about what happened to the town"
419,Page 1 (Examination room with Kaufmann),"""I'm Doctor Michael Kaufmann. I work at this hospital.""""So maybe you can tell me what's going on?""That man who called himself Kaufmann once again stirs in the chairhe is sitting in."
420,Page 2,"""I really can't say.I was taking a nap in the staff room. When I woke up, it was like this.Everyone seems to have disappeared.And it's snowing out. This time of year."""
421,Page 3 (Dead monster on examination room floor),"He looks off at the floor of the examination room.There, on the floor, the corpse of a still warm monster lay on its side."
422,Page 4,"""Something's gone seriously wrong.Did you see those monsters?Have you ever seen such aberrations?Ever even heard of such things?You and I both know, creatures like that don't exist.""""Yeah..."""
423,Page 5 (Examination room with Kaufmann),"And then I turned to face him as I realized something.""Have you seen a little girl anywhere?I'm looking for my daughter.She's only seven. Short, black hair."""
424,Page 6,"""She's missing?I'm sorry.But with all those monsters around, I highly doubt that she's...Sorry, I didn't mean to alarm you. Your wife, she's here with you?"""
425,Page 7,"""She died four years ago. Now it's just me and my daughter.""""I see... I'm sorry. Well, I'd better be going. I can't just sit around heredoing nothing.""""So long. Good luck out there."""
426,Page 8 (Door of examination room),Bang. (Onomatopoeia for door closing)The examination room door shuts powerlessly.Doctor Michael Kaufmann...Oddly enough I have completely memorized that name.
427,Page 9,"""Huh?""I suddenly notice that there is something on the floor that looks like awhite scrap of paper."
428,Page 10,"""What is this?""I pick it up.Letters have been disorderly scribbled on it."
429,Page 11,"""Arrival tomorrow morningBe prepared"""
430,Go to 7-6,"_______________________________________________________________________________第七章　　「診察室」    　　    　         　　　　　　　　                 7-6謎のメセージ                           (Dead monster on examination room floor)Chapter 7   ""Examination Room""The mysterious message"
431,Page 1 (Door of examination room),What...is this...?A ) Check to see if there is anything else.
432,Go to 7-7,B ) Go after Kaufmann.
433,Go to 7-8,"_______________________________________________________________________________第七章　　「診察室」    　　    　         　　　　　　　　                 7-7他には何かないか…                     (Dead monster on examination room floor)Chapter 7   ""Examination Room""If there is anything else..."
434,Page 1 (Door of examination room),"I carefully look around on the floor, but it doesn't appear that anythingelse interesting has been dropped."
435,Page 2,I look all around the examination room.
436,"Page 3 (Examination room, alternate angle)","Up until a short time ago this was just a normal room in a hospital, with itsvarious instruments and tools all about, each aptly arranged per function.Only people have been erased from this normal scene, making thesituation unnatural."
437,Page 4 (Black),I leave the examination room.I pass through the medicine room and reach a planked floor corridor thatsilently extends in an L-shape.I moved forward and found that there was an elevator with a large door atthe end of the corridor.
438,Go to 7-9,"_______________________________________________________________________________第七章　　「診察室」    　　    　         　　　　　　　　                 7-8カウフマンを追跡                       (Dead monster on examination room floor)Chapter 7   ""Examination Room""Going after Kaufmann"
439,Page 1 (Black),I leave the examination room.Kaufmann is nowhere to be found.I begin to run.
440,Page 2,I pass through the medicine room and reach a planked floor corridor thatsilently extends in an L-shape.I moved forward and found that there was an elevator with a large door atthe end of the corridor.
441,Go to 7-9,"_______________________________________________________________________________第七章　　「エレベーター」    　　         　　　　　　　　                 7-9ボタンを押してみる                     (Dead monster on examination room floor)Chapter 7   ""Elevator""Harry tries pressing the buttons"
442,Page 1 (Black),I try pressing the buttons beside it.Nothing happens.It looks like the power is off.
443,Page 2,"There are several doors in the corridor.I begin opening each one in order.第七章　「会議室」「テーブル上の鍵」Chapter 7   ""Meeting Room""The key on top of the table"
444,Page 3 (Meeting room),"I open the door marked ""Meeting Room"", head inside, and close the doorbehind me.A large table rests in the center of this room, and I notice that thereis something glittering on top of it."
445,Page 4 (Black),"I grasp the light green key, leave the room, and once again step into thechilly corridor."
446,Page 5 (Kitchen),The next room looks to be the kitchen.I guess that the food for patients is probably prepared here.Various bronze cooking utensils are neatly arranged in order on thestainless steel countertop.It does not appear that anything terribly important is here.
447,Page 6,I carefully look through the various cooking utensils.Inside a large pot there is......nothing at all.
448,Page 7,While continuing to search to see if there might be some clue here or notI notice that on the far wall various objects have been scattered about.
449,Page 8,I carefully move forward on the wet floor as not to slip.Something is there.
450,Go to 7-10,"_______________________________________________________________________________第七章　　「厨房」    　　         　　        　　　　　　                7-10何かが置かれている…                                                  (Kitchen)Chapter 7   ""Kitchen""Something is there..."
451,Page 1 (Kitchen),I reach out my hand towards the thing in front of me.A ) Pick up the pet bottle.
452,Go to 7-11,(This choice is related to the automatic branching that occurs in 15-1.If you wish to reach ending A then you must make this choice.)B ) Pick up the kitchen knife.
453,Go to 7-12,"(This choice is related to the automatic branching that occurs in 15-1.If you wish to reach ending B then you can make this choice.)_______________________________________________________________________________第七章　　「厨房」    　　         　　        　　　　　　                7-11ペットボトルを拾う                                                    (Kitchen)Chapter 7   ""Kitchen""Pick up the pet bottle"
454,Page 1 (Kitchen),I move past one of the sinks and notice an empty pet bottle sitting on theend of the counter.
455,Page 2,"""Perhaps this might come in handy for something.""I mutter this and grab the empty pet bottle. Then I leave the kitchen."
456,Page 3 (Hospital corridor),"After leaving the kitchen I head right and place my hand on the first doorthat I come to.I notice the words ""Director's Office"" out of the corner of my eye as I openthe door. From inside the room a strong stench overflows outward and causesme to feel dizzy."
457,Page 4 (Director's office),Someone has ransacked the room.Behind the desk that probably belongs to the director several bottles havebeen broken leaving red and blue liquid spilled all over the floor.
458,Go to 7-13,"_______________________________________________________________________________第七章　　「厨房」    　　         　　        　　　　　　                7-12調理用ナイフを拾う                                                    (Kitchen)Chapter 7   ""Kitchen""Pick up the kitchen knife"
459,Page 1 (Kitchen),"I picked up a knife that appears to be for kitchen use.""Perhaps this will come in handy for something...""I only have a limited number of bullets.When the time comes I might be able to use this as a weapon.I left the kitchen."
460,Go to 7-17,"_______________________________________________________________________________第七章　　「院長室」    　        　　        　　　　　　                 7-13床一面にこぼれ出していた液体                                   (Spilled liquid)Chapter 7   ""Director's Office""The liquid spilled all over the floor"
461,Page 1 (Spilled liquid),If I use the pet bottle...A ) Scoop up the red liquid.
462,Go to 7-14,(This choice is related to the automatic branching that occurs in 15-1.If you wish to reach ending A then you must make this choice.)B ) Scoop up the blue liquid.
463,Go to 7-15,(This choice is related to the automatic branching that occurs in 15-1.If you wish to reach ending B then you must choose this or C.)C ) Scoop up the mixture of purple liquid.
464,Go to 7-16,"(This choice is related to the automatic branching that occurs in 15-1.If you wish to reach ending B then you must choose this or B.)_______________________________________________________________________________第七章　　「院長室」    　        　　        　　　　　　                 7-14赤色の液体をすくう                                             (Spilled liquid)Chapter 7   ""Director's Office""Scoop up the red liquid"
465,Page 1 (Spilled liquid),I...get out the pet bottle and use a fragment of the bottom section of one ofthe broken bottles to pour the vermilion liquid into the it.
466,Page 2,"The sticky liquid drips into the pet bottle.The last drop lingered, but once it finally hit the surface of the liquidalready inside the pet bottle I tightly closed the cap and then left theDirector's Office."
467,Go to 7-17,"_______________________________________________________________________________第七章　　「院長室」    　        　　        　　　　　　                 7-15青色の液体をすくう                                             (Spilled liquid)Chapter 7   ""Director's Office""Scoop up the blue liquid"
468,Page 1 (Spilled liquid),I...get out the pet bottle and use a fragment of the bottom section of one ofthe broken bottles to pour the blue liquid into the it.
469,Page 2,"The sticky liquid drips into the pet bottle.The last drop lingered, but once it finally hit the surface of the liquidalready inside the pet bottle I tightly closed the cap and then left theDirector's Office."
470,Go to 7-17,"_______________________________________________________________________________第七章　　「院長室」    　        　　        　　　　　　                 7-16紫色の液体をすくう                                             (Spilled liquid)Chapter 7   ""Director's Office""Scoop up the purple liquid"
471,Page 1 (Spilled liquid),I...get out the pet bottle and use a fragment of the bottom section of one ofthe broken bottles to pour the purple liquid into the it.
472,Page 2,"The sticky liquid drips into the pet bottle.The last drop lingered, but once it finally hit the surface of the liquidalready inside the pet bottle I tightly closed the cap and then left theDirector's Office."
473,Go to 7-17,"_______________________________________________________________________________第七章　　「病院廊下」    　      　　        　　　　　　                 7-17奥深き地下への階段                                (Nightmare hospital corridor)Chapter 7   ""Hospital Corridor""The stairs leading to the deep basement"
474,Page 1 (Black),I crept out into the corridor once more and stood in front of the doorthat was closest to the elevator.
475,Page 2,"I open the door, and the reverberations of the sounds of it opening andthen closing shake my eardrums.The walls are made of concrete.And a few steps in a staircase leading to the basement extends like the foldsinside the body of a snake."
476,"Page 3 (Stairs, animated)","It is dark and difficult to see, but it looks like there is a door at thebottom of the staircase."
477,Page 4,"Be brave, I mutter to myself.Leaving only the echoes of my footsteps, I descend the staircase to hellone step at a time.And then I open the door leading to darkness.第七章　「病院廊下」「光を失った世界 」Chapter 7   ""Hospital Corridor""A world without light"
478,Page 5 (Black),A world without lightI could see that the electricity was most likely out in theentire hospital.I pressed the switch on the flashlight on my chest and tried lightingthe area.
479,Page 6 (Dark hospital floor),"It is creepy, and yet there is nothing noticeably out of place.Chilly air drifts from the cold concrete, and it seems as if touching itwould completely rob my body of its warmth."
480,Page 7,"While moving through the corridor I try opening the doors as I come to them.Of them, one opens with a creak.第七章　「発電機の部屋」「非常用発電機」Chapter 7   ""Generator Room""The emergency generator"
481,Page 8 (Generator room),"""Emergency Generator"" is written on the machine that occupies most ofthe room.To reach the second floor and above it did not look like there was anymethod other than using the elevator.So without hesitation I turn the machine on."
482,Page 9 (Black),I immediately head for the elevator.I press the up button. The heavy sound of the motor and the sounds of metalparts coming into contact with each other almost sound like intertwinedscreams.With a 'ding' the elevator stops and its doors slowly open.
483,"Page 10 (Elevator panel, three floor buttons)","The inside of the elevator is large.It seems to be about big enough to accept three hospital beds.Buttons for each floor are lined up to the right of the elevator door.They are marked 3, 2, 1, and B from the top down."
484,Page 11 (Black),"First I head to the second floor.However, after I step off the elevator I find that the door connected to thecorridor that leads to the rooms on this floor is locked.With no alternative I try heading to the third floor, but I find that it isin the same state."
485,Page 12,"Well, what now?I have already tried moving to every floor.With nothing else to do I re-entered the elevator and then could not believemy eyes."
486,"Page 13 (Elevator panel, four floor buttons)","Of the buttons for each floor, 3 was definitely the highest floor just before.In spite of that a new 4 button has been added."
487,Go to 8-1,"_______________________________________________________________________________第八章　　「病院４階」    　      　　        　　　　　　                  8-1変貌する光景                                      (Nightmare hospital corridor)Chapter 8   ""Hospital, 4th Floor""The changing scene"
488,Page 1 (Black),"The elevator doors open with a familiar sound and I step out on to thefourth floor.""Again?"", I think.A condition extremely similar to that which I encountered after passingthrough the basement in the clock tower at the elementary school was presentright in front of me."
489,Page 2 (Nightmare hospital corridor),"Dark red rusted walls, metal grated floors...And a ringing in my ears that seems to creep up from the depths of hellis a menace to my mental state."
490,Page 3,I open the door in front of me and a long corridor extends beyond it.I very carefully move forward while keeping my eyes fixed on the wall.Could Cheryl be here? The only way to find out is to search this place.
491,Page 4,Huh...
492,Page 5,"I can hear something in the darkness in front of me.It sounds like the groan of something dragging on the ground.The owner of that groan is slowly closing in on me, but I cannot see whatit is for sure with the faint light of my flashlight."
493,Go to 8-2,"_______________________________________________________________________________第八章　　「何物かが…」    　      　　        　　　　　                  8-2揺れる白い影                                      (Nightmare hospital corridor)Chapter 8   ""Something is...""The swaying white figure"
494,Page 1 (Nightmare hospital corridor),I instantly...A ) ready my gun.
495,Go to 8-3,B ) leave this area.
496,Go to 8-4,"_______________________________________________________________________________第八章　　「何物かが…」    　      　　        　　　　　                  8-3銃を構えるハリー                                  (Nightmare hospital corridor)Chapter 8   ""Something is...""Harry readies his gun"
497,Page 1 (Nightmare hospital corridor),"It is probably not human.I firmly grip the gun, position my finger on the trigger, and begin to walktowards it with the gun readied beside my face."
498,Page 2 (Nurse appears),"Eventually something white enters my field of vision.I adjust aim the flashlight on my chest with my hand and shine light on it.A white figure appeared, which is stooped over like an old woman. It lookedto have undergone a grotesque change."
499,"Page 3 (Puppet Nurse, animated)","The monster has a very large hump on its back, which twitches and moves asif it were alive. In one hand it holds a knife, which it waves as itapproaches me."
500,Page 4,"In the instant I readied my gun the monster began to run. By the time Irealized this it slashed at me.I instantly dodged the attack, and thanks to that my clothes wereslashed and I had only a scratch on my side. I suppose I was lucky."
501,Page 5,"""Damn...!""I kick it in the face with the bottom of my shoe, and it falls down on itsback. It then begins to stand for its next attack."
502,Page 6,I close my left eye and steady my aim.Even after one shot hit its movement does not change at all.
503,Page 7,I fire more bullets at it.It is laughing.In a voice great enough to shake the entire world it laughs as its facetwists and distorts.
504,Page 8 (Black),I cannot give up.When the final bullet loaded into my gun hits it finally stops laughing.This time it is face down and I begin crushing it with my foot.Finally...it completely stops moving.
505,Go to 8-5,"_______________________________________________________________________________第八章　　「何物かが…」    　      　　        　　　　　                  8-4逃げるハリー                                      (Nightmare hospital corridor)Chapter 8   ""Something is...""Harry runs away"
506,Page 1 (Nightmare hospital corridor),I'm in danger.I try running away.
507,Page 2,"However I can hear the owner of that eerie groan pursuing me from behind.I thought that maybe it was echoing off the walls, but that is not the case."
508,Page 3,I became aware of my situation.I am clearly surrounded.There is nowhere to run to.I have no choice...
509,Page 4,"It is probably not human.I firmly grip the gun, position my finger on the trigger, and begin to walktowards it with the gun readied beside my face."
510,Page 5 (Nurse appears),"Eventually something white enters my field of vision.I adjust aim the flashlight on my chest with my hand and shine light on it.A white figure appeared, which is stooped over like an old woman. It lookedto have undergone a grotesque change."
511,Page 6,"The monster has a very large hump on its back, which twitches and moves asif it were alive. In one hand it holds a knife, which it waves as itapproaches me."
512,Page 7,"In the instant I readied my gun the monster began to run. By the time Irealized this it slashed at me.I instantly dodged the attack, and thanks to that my clothes wereslashed and I had only a scratch on my side. I suppose I was lucky."
513,Page 8,"""Damn...!""I kick it in the face with the bottom of my shoe, and it falls down on itsback. It then begins to stand for its next attack."
514,"Page 9 (Puppet Nurse, animated)",I close my left eye and steady my aim.Even after one shot hit its movement does not change at all.
515,Page 10,I fire more bullets at it.It is laughing.In a voice great enough to shake the entire world it laughs as its facetwists and distorts.
516,Page 11 (Black),I cannot give up.When the final bullet loaded into my gun hits it finally stops laughing.This time it is face down and I begin crushing it with my foot.Finally...it completely stops moving.
517,Go to 8-5,"_______________________________________________________________________________第八章　　「何物かが…」    　      　　        　　　　　                  8-5迫り来る化け物                                    (Nightmare hospital corridor)Chapter 8   ""Something is...""The approaching monsters"
518,Page 1 (Black),"""This is insane...""Another monster approaches from behind the corpse of the first one.""At this rate all the bullets in the world would not be enough..."""
519,Go to 8-6,"_______________________________________________________________________________第八章　　「異形の物」    　      　  　        　　　　　                  8-6弾を無駄にはできない…                            (Nightmare hospital corridor)Chapter 8   ""The Strangely Shaped Things""I cannot waste bullets..."
520,Page 1 (Black),All I can do is run...!A ) Run past the monster in front of me.
521,Go to 8-7,B ) Run past the monster behind me.
522,Go to 8-8,"_______________________________________________________________________________第八章　　「異形の物」    　      　  　        　　　　　                  8-7正面に銃を向けて                                  (Nightmare hospital corridor)Chapter 8   ""The Strangely Shaped Things""Pointing the gun forward"
523,Page 1 (Black),"I begin to run towards the monster in front of me.Evading the large swings of its knife I run down the dark corridor,occasionally stumbling."
524,Page 2,"I see a staircase leading down. I race down it, knowing not whether ifsomething is waiting for me or not at its base."
525,Go to 8-9,"_______________________________________________________________________________第八章　　「異形の物」    　      　  　        　　　　　                  8-8背後に銃を構えて                                  (Nightmare hospital corridor)Chapter 8   ""The Strangely Shaped Things""Readying the gun to the rear"
526,Page 1 (Black),"I turn around and begin to run towards the monster that was behind me.Evading the large swings of its knife I run down the dark corridor,occasionally stumbling."
527,Go to 8-9,"_______________________________________________________________________________第八章　　「これまでの行動」    　    　        　　　　　                  8-9階下への階段を駆けて                              (Nightmare hospital corridor)Chapter 8   ""My Actions up to this Point""Racing down the stairs to the next floor"
528,"Page 1 (Stairs, animated)","I am thinking about Cheryl.Even if she is held prisoner somewhere in this hospital there is no guaranteethat I can rescue here.In fact, there is no reason that the staircase I am descending should leadme to Cheryl"
529,Page 2,I begin to think that all of my current actions are all meaningless.
530,Page 3,"However, generally speaking, since I arrived in Silent Hill, no, since theday before leaving for Silent Hill, no, even longer ago, since the dayI met Cheryl, perhaps I have had no choice in my actions, that they havebeen determined by the someone's will."
531,Page 4,"As I continue to the base of the stairs I contemplate, what if my ""life""up to this point had just been on one track?"
532,Page 5,"As I descend the stairs my ears began ringing again. The ringing is soforceful that it cannot even be compared to before, and it forces me tosquat down.What in the world has happened?Perhaps I have opened a door to hell, a door that should never be opened."
533,Page 6,"Something is clearly changing, and it is for the worse.Going back will not be permitted.I must move forward. Forward.I put my hands together on my head, and then squeeze my temples tightly byusing my elbows."
534,Page 7,"The ringing then begins to sound like a demon is whispering in my ears;however, it doesn't stop."
535,Page 8,"I blindly begin to run.Even if I am to die in this mad land, I must save my beloved Cheryl first.Believing that the answers are beyond the door, I know that I must discover atleast one clue.第八章　「倉庫」「ビーカーの中の液体」Chapter 8   ""Storehouse""The liquid in the beaker"
536,"Page 9　(Nightmare hospital corridor, flickering)","Several overlapping square figures are shaking in time with the sound of myheart.It is the wall at the end of the area.Another wall is lies perpendicular to it. There is a door present onthis wall with a plate on it that says ""Storehouse""."
537,Page 10,Some chemicals have been placed on the table that is next to the door.There are three beakers of different sizes and a test tube.The test tube contains a liquid that is of a different color to that whichis in the left-most beaker.I found a memo.
538,Page 11,"""To create it you must come up with one deciliter of liquid and pourit into the test tube. No more or no less, that man had said.But there are no graduations on the beakers. This makes it impossible tocome up with one deciliter using these three large beakers."""
539,Page 12,"""Explanation of Controls""Use the d-pad to select a beaker that contains liquid and then confirmwith the A button.Then choose the beaker that you wish to move the liquid to and press theA button to move the liquid."
540,Page 13,"Using the 10 deciliter, 7 deciliter, and 5 deciliter beakers you mustcreate an amount of exactly one deciliter."
541,Page 14 (Door with chain on it),The door won't budge an inch.(Beaker Game)
542,Page 15 (Beakers and test tube),"This ""page"" is the text that you will see during the beaker game:このビーカーを選ぶ？ = Do you choose this beaker?このビーカーは空だ。薬品の入ったビーカーを選択せねば =This beaker is empty. You must choose a beaker that contains chemicals.どのビーカーに液体を移す？ = Which beaker will you move the liquid to?その行為には意味がない = Doing that makes no sense.こぼさないように… = Without spilling any...よし…！ = Got it!"
543,Page 16 (Door with chain on it),Harry melted the chain on the door with the completed liquid.(This page is automatically dismissed.)
544,Page 17 Door with chain melted,(No text)
545,Page 18 Black,"The door slowly opens with a 'click'.第八章　「倉庫」「不自然な擦り跡」Chapter 8   ""Storehouse""The unnatural scratches"
546,Page 19 (Black),"Inside the storehouse nothing important looking stands out.I carefully edge between the simple metal shelves that have been placed herein a specific arrangement.However, nothing is here that makes this room worthy of being called astorehouse."
547,Page 20,"I am drawn toward the cabinet in the back of this room.This is because I found the presence of the wooden cabinet strange andunsuitable for this simple room.I approach the cabinet and try to open it; however, it will not budge."
548,Go to 8-10,"_______________________________________________________________________________第八章　　「倉庫の棚」    　    　              　　　　　                 8-10こんなところになぜ？                              (Nightmare hospital corridor)Chapter 8   ""The Cabinet in the Storehouse""Why, in a place like this?"
549,Page 1 (Black),Well...A ) I will look at the floor under the cabinet.
550,Go to 8-11,B ) I will look inside of the cabinet.
551,Go to 8-12,C ) I will look on top of the cabinet.
552,Go to 8-13,"_______________________________________________________________________________第八章　　「倉庫の棚」    　    　              　　　　　                 8-11棚の下の床を調べる                                (Nightmare hospital corridor)Chapter 8   ""The Cabinet in the Storehouse""Looking at the floor under the cabinet"
553,Page 1 (Black),If there is an important clue inside this cabinet then I should be able toopen it right away.But then I gradually come to understand that there is no need to do so.
554,Page 2,"The necessity of the cabinet here is thin, as anything could be used tosatisfy the requirement; if something is needed to block my path then a bunchof stones could work just as well.I thought this as I looked at the scratches on the floor that were the samesame width as the cabinet."
555,Go to 8-14,"_______________________________________________________________________________第八章　　「倉庫の棚」    　    　              　　　　　                 8-12棚の中を調べる                                    (Nightmare hospital corridor)Chapter 8   ""The Cabinet in the Storehouse""Looking inside the cabinet"
556,Page 1 (Black),Putting force into my fists I pounded the cabinet's small wooden doorsuntil they broke.Inside there is...nothing of particular value.
557,Page 2,At that time I noticed that I could feel cold air coming from behind thecabinet.And at the same time...I also noticed marks that looked like they had beenleft from dragging something on the floor.
558,Go to 8-14,"_______________________________________________________________________________第八章　　「倉庫の棚」    　    　              　　　　　                 8-13棚の上を調べる                                    (Nightmare hospital corridor)Chapter 8   ""The Cabinet in the Storehouse""Looking on top of the cabinet"
559,Page 1 (Black),I stood up straight and looked on top of the cabinet.
560,Page 2,Other than a layer of dust so thick that it almost appeared as if acloth had been laid on the cabinet there is nothing of interest.
561,Page 3,"""Ah!""My field of vision shakes violently.I lost my balance and fell to the floor. I landed on my butt hard enoughfor it to be unpleasant.(Ahh-ta,ta,ta,ta,ta...) (Onomatopoeia for Harry's pain noise)"
562,Page 4,"There I discover something odd.Countless lines have been bored into the old flooring, and fiber-shaped woodenchips are exposed."
563,Page 5,It looks as if someone has moved this cabinet.And then returned it to its original position...
564,Go to 8-14,"_______________________________________________________________________________第八章　　「床の擦り跡」    　  　              　　　　　                 8-14引きずったような跡が…                              (Hidden door in storehouse)Chapter 8   ""The Marks on the Floor""Marks left from something being dragged..."
565,Page 1 (Black),The marks on the floor are still fresh.They tell me that some other human probably came down here.Is there something beyond this cabinet?
566,Page 2 (Hidden door in storehouse),"Using my body weight I slowly push the cabinet from its original position.The existence of the inviting door behind the cabinet seems completelynatural.So of course, I place my hand on it.第八章　「倉庫奥」「ツタの絡んだ鉄格子」Chapter 8   ""The Inner Area of the Storehouse""The iron grate covered in vines"
567,Page 3 (Grate with vines on it),The room is very inorganic.While shining my flashlight about I move through the room and eventuallydiscover a grate in the floor.From between the bars in the grate I can see a staircase that leads to alower floor.
568,Page 4,"The grate makes a 'clunk' sound as I open it. It is quite heavy.Even though I am sure of my strength I do not believe that I could pickit up.After opening the grate enough so that I can pass through it, I gently placeone foot on the staircase that has appeared."
569,Page 5 (Black),"Slowly and cautiously...Confirming each step as I go, I descend the staircase to a mad placein which light cannot reach.Finally I reach a wide room, much wider than I imagined.I guess this based on the echoes of my footsteps.第八章　「病院地下」「走る。」Chapter 8   ""Hospital Basement""Run."
