id,name,thread
210,Page 4 (Cybil choking Alessa on the floor),"Cybil then forcefully straddled the girl, placed both hands firmly around herneck and continued to choke her."

211,Page 2 (Otherworld hall),"With the doors open, the light that illuminates the passage that extendsin front of her pours into the elevator."

212,Page 4 (Final door),Eventually a single door appears.The passage ends with this door.Perhaps all the mysteries of B1 will lie in this room?

213,"Page 9 (Final area, burning)","And then Cybil saw it.The room is about as large as a movie theater. Fire has spread all throughout,and it has began to collapse."

214,Go to 8-2,"第八章　　「闇に映える業火」                                                8-2炎に浮かぶ男の横顔　                                     (Staircase to freedom)Chapter 8   ""The hellfires shimmering in the darkness""The profile of the man visible in the flames"

215,"Page 1 (Final area, burning)",Someone is collapsed at her feet.

216,Go to 8-3,B ) an unfamiliar man.

217,Go to 8-4,"第八章　　「闇に映える業火」                                                8-3間違いない…ハリーだ        　                                     (Final area)Chapter 8   ""The hellfires shimmering in the darkness""There is no mistake...it is Harry."

218,Go to 8-5 (Ending A),"第八章　　「闇に映える業火」                                                8-5少女を抱きかかえて       　                       (Alessa laying in final area)Chapter 8   ""The hellfires shimmering in the darkness""Cybil carries the girl"

219,"Page 2 (Alessa laying in final area, burning)","A girl dressed in white clothing is lying face down, and her back movesup and down along with her breathing.Cybil stops, kneels down, and places her hand on the girl's shoulder."

220,Page 13 (Staircase to freedom),"Cybil finally arrives at the exit, and places her foot on the white staircasethat extends in front of her.And then she races up it."

221,"Page 5 (Cybil walking, half bent over)","""A long staircase to the basement...Just where does it lead to?""She rests her hand on the wall, and from time to time squats down where sheis standing, as she continues forward via her strong will.第八章　　「伝達」「私を導く存在」Chapter 8   ""Convey""The presence that guides me"

222,Page 6 (Underground corridor),"Eventually a long corridor appears in front of her.The passage spreads out like a blood vessel of the town's underground.""Who could have made this?Am I being led somewhere?"

223,Page 8 (Background begins flashing red),"A warm breeze ruffles Cybil's blond hair.Somewhere far off, at the end of this passage, something is burning."

224,Go to 8-7,"第八章　　「伝達」                                                          8-7炎上する扉                         　                          (Dark staircase)Chapter 8   ""Convey""The door in flames"

225,Go to 8-8,"B ) Wait, should I go in there..."

226,Go to 8-9 (Ending C-2),C ) Things will happen as they will...

227,Go to 8-10,"第八章　　「伝達」                                                          8-8誰かがいる…                       　                          (Dark staircase)Chapter 8   ""Convey""Someone is here..."

228,"Page 5 (Final area, burning)","Harry holds something dearly, at his chest...It is a baby.Harry holds it as if it is his own...Or maybe he is thinking of it as Cheryl...He smiles a bit.第八章　　「伝達」「永遠に続く…」Chapter 8   ""Convey""It will go on forever..."

229,Go to 8-11 (Ending C-1),"第八章　　「伝達」                                                         8-11終わりから始まりへ                 　                          (Dark staircase)Chapter 8   ""Convey""From the ending to the beginning"

230,"Page 2 (Final area, burning)",When Cybil finally reaches a door...A man is in the center of the room...An unfamiliar girl is passing something to Harry...The scene fills Cybil's eyes.

231,Page 14 (Harry standing over Cybil with the gun),"Only vivid red suddenly returned to what had been a monochrome world.There is no strength in her body.Her body falls like a doll's, and her broken face forcefully hits theground with a smash."

232,Page 16 (Black),Harry gently closes Cybil's eyes with the palm of his hand.That was his final consideration for her...

233,Page 6 (Door in hospital),"Cybil had returned to the first floor to get the key to the hospital rooms,but then she noticed a door that had been left open."

234,Go to 8-13,"第八章　　「決意」                                                         8-13扉の中は…                                      　           (Door in hospital)Chapter 8   ""Resolution""Inside the door there is..."

235,Page 1 (Door in hospital),"""Ah...""A ) There is a staircase leading to the basement."

236,Go to 8-14,B ) There is a blinding light. Cybil covers her eyes in reaction to it.

237,Go to 8-15 (Ending B-2),"第八章　　「決意」                                                         8-14地下へ伸びる階段                                           　  (Dark staircase)Chapter 8   ""Resolution""The staircase leading to the basement"

238,Page 1 (Dark staircase),Cybil descends the long staircase while keeping one hand on the wall.

239,Go to 9-1,"第八章　　「墓地」                                                         8-15懐かしい匂い                                                (Cybil in cemetery)Chapter 8 ""Cemetery""A nostalgic scent"

240,Page 1 (Cybil in cemetery),"The blinding light falls all over Cybil's body.Cybil lost her ability to see instantly, and had no idea whether her eyeswere opened or closed."

241,Page 6 (Mother Alessa with mourners),Next to her grandparents graves...Many people in black have gathered.The sobbing of the people dressed in mourning clothes can be heard.

242,Page 10 (Close up of gravestone),"The sacred ceremony is proceeding without delay.A magnificent casket is brought out by several men, and then it is gentlylowered into a hole that was prepared in advance."

243,Page 16 (Mother Alessa with mourners),"Between the people dressed in black...There is a girl wearing a white one piece dress standing on the dark greengrass, only half visible."

244,"Page 4 (Underground corridor, flashing red)",It is hot.Somewhere something is burning.To her front...

245,"Page 9 (Dahlia and Alessa in final area, burning)","As she entered the room she noticed two people, Dahlia and a girldressed in blue.The two of them are facing each other amongst the blazing flames, staring ateach other's expressions."

246,Page 1 (Cafe) (Cheryl appears),"When she came to Cybil was sleeping on a small bench in the cafe.Cheryl is standing next to her, gazing out the window at the steadily fallingsnow."

