id;name;thread; go_to
287;Page 2;Все, что произошло, было в чьих-то руках. Я постепенно пришел к пониманию этого. Даже до сих пор, наверное, не могу определить свой курс.;
288;Page 3;Я принимаю направление невидимого, которому я должен подчиниться. Чтобы найти Шерил, нет другой альтернативы. Глава 5 «Борьба жизни и смерти в подвале» Неудобно теплый воздух;
289;Page 4;Теперь я знаю, куда мне нужно идти.;
290;Page 5;По мере того, как я иду туда, я иду твердо, шагая вперед шаг за шагом. Я спускаюсь по лестнице, от которой дует неприятно теплый воздух, и нахожу у ее основания лифт, который приглашает меня спуститься еще ниже, так как его двери медленно открываются.;
291;Page 6;Как только я вхожу, двери закрываются, и в следующий момент с ржавым лязгом лифт начинает опускаться на большой скорости. Как далеко он идет вниз? Все, что я могу сделать, это плыть по течению.;
292;Page 7 (Sconce with animated fire column);Постепенно лифт и я окутываемся горячим влажным воздухом. Лифт останавливается, и я выхожу, когда его двери открываются. За коротким проходом ослепительный свет исходил из маленькой комнаты, маленькой комнаты, которая ждала моего прихода.;
293;Page 8 (Split Head, animated);В центре горело адское пламя, и все создавало впечатление, будто эта комната предназначалась для молитвы. А потом она... оказалась там. Она медленно двигалась вокруг огромного бра, от которого поднималось пламя и пепел.;
294;Page 9;Ящерица, похоже, внезапно мутировала. Ее внешняя оболочка похожа на слизистую оболочку. Она просто смотрит на меня и с удивительно удобной скоростью ищет возможность для атаки.;
295;Go to 5-11;" Глава 5 ""Борьба не на жизнь, а на смерть в подвале"" Как мне бороться...";
296;Page 1 (Split Head, animated);Вот... А) Я выстрелил из пистолета в его большое тело.;
297;Go to 5-12;Б) Я не ровня этому врагу с тем оружием, которое у меня есть. Лучше всего бежать.;
298;Go to 5-13; Глава 5 «Борьба не на жизнь, а на смерть в подвале» Стрельба из пистолета по его большому телу;
299;Page 1 (Split Head, animated);Из моего пистолета исходит дым и порох. Я уверен, что попал в него. Однако эти похожие на броню чешуйки более чем выполнили свою задачу.;
300;Page 2;Это совсем не эффективно. Это нехорошо, мне нужно где-нибудь помягче сделать свою пулю.;
301;Go to 5-14;Глава 5 «Борьба не на жизнь, а на смерть в подвале» Лучше всего бежать;
302;Page 1 (Split Head, animated);Я был ошеломлен его размерами. Мне нужно бежать. У меня нет ни единого шанса с таким слабым оружием в кармане.;
303;Page 2;Я ищу путь к отступлению. Однако вход, через который я пришел, теперь закрыт толстым, прочным металлическим забором, без каких-либо отверстий, через которые я мог бы проскользнуть.;
304;Page 3;Я не могу убежать.;
305;Go to 5-14; Глава 5 «Пробуждение» Внезапно всплывает воспоминание;
306;Page 1 (Split Head, animated);В этот момент часть моей памяти внезапно пробудилась.;
307;Go to 5-15;"Глава 5 ""Память"" 5-15Гарри (Бра) Глава 5 ""Память"" Гарри вдруг вспоминает";
308;Page 1 (Split Head, animated);Определенно...А) в библиотеке...;
309;Go to 5-16;Б) в учительской...;
310;Go to 5-17;"Глава 5 ""Воспоминание"" 5-16 Безусловно в то время... (Бра)Глава 5 ""Воспоминание""Конечно в то время...";
311;Page 1 (Split Head, animated);Я помню. Та книга, которую я взял в руки не так давно. Ее содержание прокручивается у меня в голове. Внимательно следя за движениями моего противника, я вспоминаю ее отрывки.;
312;Go to 5-20 if you selected C in 5-6;"Глава 5 ""Воспоминание""Конечно в учительской...";
313;Page 1 (Split Head, animated);В учительской...;
314;Page 2;Телефонный звонок, который я получил. Плач Шерил танцует в моей памяти.;
315;Page 3;Верно... Я не могу позволить себе умереть здесь. Шерил... Шерил где-то ждет, когда я ее спасу. Она все еще жива.;
316;Page 4;Я поднял голову. Его твердая чешуя сияла в свете адского огня. Должно быть, у него есть слабое место. Если я смогу просто ударить его.;
317;Page 5;Я стоял на месте и ждал его атаки. Я позволил ему приблизиться так близко, как только мог. В его пасти. Если бы я мог просто стрелять туда вслепую.;
318;Page 6 (Split Head, mouth open);Он приблизился, а затем его рот распахнулся. Он выглядел так, словно собирался проглотить меня целиком. Мои пальцы дрожали от его размера.;
319;Page 7;Я больше не могу колебаться. Я прицелился ему в рот и быстро нажал на курок. Снова и снова, снова и снова звук выстрелов раздавался из моего оружия, пока у меня были боеприпасы.;
320;Page 8;И тут я потерял сознание...;
321;Go to 5-24;"Глава 5 ""Память""Содержание детской книги (Бра)";
322;Page 1 (Split Head, animated);(Легко стрела пронзила беззащитную пасть, и ящер упал замертво.);
323;Page 2;Все, что я могу сделать, это приблизить своего противника. Каждая пуля, попавшая в его тело, только увеличивает его силу.;
324;Page 3;Я бегу. Все мое тело пропитано потом. Жар от пламени и большое количество пота работают вместе, чтобы лишить меня моих эмоциональных сил. глухой удар;
325;Page 4 (Split Head, mouth open);Мой запас пуль на исходе. Это мой предел, я оборачиваюсь. Его огромная пасть там, размером около 4 метров, и открыта во все стороны. Это было только на мгновение, но я снова подумал об этом проходе.;
326;Page 5;"""...стрела летела, пронзая беззащитную пасть...""";
327;Go to 5-21; Глава 5 «Память» Содержание аптечной книги (Бра);
328;Page 1 (Split Head, animated);([Клавдия белая]Многолетнее травянистое растение, растет у воды. Достигает высоты от 30 до 40 сантиметров. Листья продолговатые, цветки белые.;
329;Page 2;Семена содержат галлюциноген. Древние записи показывают, что его использовали для религиозных церемоний. Галлюциногенный эффект был ключевым.);
330;Page 3;..........Трава с галлюциногенным эффектом...Однако в книге не было написано никаких мер по борьбе с монстром, с которым я сейчас сталкиваюсь.;
331;Page 4 (Split Head, mouth open);Я в опасности. Когда я пришел в себя, его широко раскрытая пасть была прямо передо мной, раскрытая таким образом, что предполагалось, что она собирается проглотить меня целиком.;
332;Page 5;Слишком поздно. Меня поймали в его пасти, легко подняли, а затем раздавили его зубы, когда я упал внутрь.;
333;Page 6;...................;
334;Go to 5-24; Глава 5 «Память» Содержание религиоведческого словаря;
335;Page 1 (Split Head, animated);(Даже с черной магией, которая, как считается, исчезла в настоящее время, ее магические заклинания активно исследуются в таких областях.;
336;Page 2;В этом процессе требовался жертвенник, зажженный священным пламенем, и символическая печать. Затем, призывая злое существо и приводя его в контакт со святым, можно создать новое существование.;
337;Page 3;В этом случае святой не ограничивается священником, так как может использоваться и неодушевленный предмет.);
338;Page 4;Монстр передо мной, возможно, был вызван черной магией или произошел от нее.;
339;Page 5;Однако в той литературе не было никакой информации, которая помогла бы мне прямо сейчас.;
340;Page 6 (Split Head, mouth open);Я в опасности. Когда я пришел в себя, его широко раскрытая пасть была прямо передо мной, раскрытая таким образом, что предполагалось, что она собирается проглотить меня целиком.;
341;Page 7;Слишком поздно. Меня поймали в его пасти, легко подняли, а затем раздавили его зубы, когда я упал внутрь.;
342;Page 8;...................;
343;Go to 5-24; Глава 5 «Борьба не на жизнь, а на смерть» Нацеливание на слабое место;
344;Page 1 (Split Head, mouth open);Ок... А) Огонь ему в рот.;
345;Go to 5-22;Б) Сначала я остановлю его движение. Я выстрелил ему в ноги.;
346;Go to 5-23;Глава 5 «Борьба не на жизнь, а на смерть»Стрельба ему в пасть;
347;Page 1 (Split Head, mouth open);Я больше не могу колебаться. Я как можно спокойнее приготовил пистолет, прицелился внутрь его рта и быстро нажал на курок. Снова и снова, снова и снова звук выстрелов раздавался из моего оружия, пока я не боеприпасы.;
348;Page 2;И тут я потерял сознание........;
349;Go to 5-24;Глава 5 «Борьба не на жизнь, а на смерть» Сначала остановить его движение;
350;Page 1 (Split Head, mouth open);Ноги. Если я смогу остановить его движение, я буду свободен делать все, что захочу, чтобы закончить его.;
351;Page 2;Я прицелился в его переднюю ногу и сделал один выстрел. Хотя я попал в цель, это кажется бессмысленным. Наоборот, он увеличивает свою скорость и настойчиво преследует меня, как Итрип на моих собственных ногах.;
352;Page 3;У меня осталось всего несколько патронов. Пока я ждал своего величайшего шанса, я изо всех сил старался держаться от него подальше, но жар от адского огня заставил меня потерять сознание, а затем меня загнали в угол комнаты, прежде чем я понял это.;
353;Page 4;Я уже потерял силу воли, чтобы дать отпор, а оно стоит передо мной с широко открытым ртом. Со смирением я молча закрыл глаза.;
354;Page 5;..................;
355;Go to 5-24; Глава 5 «Мирный свет» Гарри просыпается в темной комнате;
356;Page 1 (Boilers);Когда я пришел в себя, я оказался посреди темной комнаты. Где это? Я задумался.;
357;Page 2;Чудовище исчезло. Я тяжело встал, а затем немного подождал неподвижно, пока мой взгляд не сфокусировался. Каким-то образом... каким-то образом это похоже на котельную. Здесь странно тихо.;
358;Page 3;Может быть, я приснился? Мое сильно измученное тело, кажется, тоже как-то восстановилось. Низкий гул котлов странно успокаивает мои нервы.;
359;Page 4;А потом я чувствую присутствие человека и перевожу взгляд.;
360;Page 5 (Alessa appears);Там стояла девушка. Она была одета в тёмно-синюю одежду, и её светло-каштановые волосы были аккуратно причёсаны.;
361;Page 6;Девушка просто смотрела прямо на меня. Как только я заметил ее и начал шагать к ней, она полностью исчезла, как будто ее тело просто растворилось в воздухе в комнате. Я снова был один в комнате.;
362;Page 7 Alessa disappears;«Что это было?» Глава 5 «Мирный свет» Странное чувство облегчения;
363;Page 8;Постояв немного, я глубоко вздохнул и положил руку на дверь у входа.;
364;Page 9 (School hallway, light);Солнечный свет льется в холл школьного здания. На улице, как обычно, еще лежит снег, но меня охватывает странное чувство облегчения, как будто из меня только что удалили раковые клетки.;
365;Page 10;С облегчением я медленно иду к выходу из здания школы. И тут я узнаю, что Шерил здесь нет. Из громкого звона церковных колоколов, которые, кажется, взывают ко мне.;
366;Go to 6-1;" Глава 6 ""В церковь"" Гарри направляется к церкви (Улица, густой туман)";
367;Page 1 (Street, heavy fog);Я начинаю бежать к церкви по дороге, наполовину покрытой грязью. Снег падает мне на голову, часть снега леденит мои волосы, когда мимо пролетает холодный воздух.;
368;Page 2;"Дойдя до церкви, я без колебаний толкаю тяжелую дверь Глава 6 ""Церковь"" Женщина с хитрым взглядом Фильм: Далия поворачивается в церкви";
369;Page 3 (Dahlia in front of altar);На передней стене установлен крест. По обеим сторонам небольшого прохода выстроены длинные скамьи. Для этой знакомой по стилю церкви время как будто остановилось.;
370;Page 4;Перед алтарем хитрая женщина с холодными глазами смотрит на меня с жуткой ухмылкой. Когда я подошел к ней, делая шаг за шагом, она смотрела на меня, не моргая. Она выглядела так, как будто предсказала, что я приеду.;
371;Page 5;«Ты звонил в этот звонок?» Женщина фыркнула, фыркнув. «Я ждала тебя. Это было предсказано гиромантией». «О чем ты говоришь?»;
372;Page 6;«Я знал, что ты придешь. Тебе нужна девушка, верно?» «Девушка? Ты говоришь о Шерил?» Мои глаза расширились.;
373;Page 7;«Я все вижу». «Ты что-то знаешь!? Скажи мне!»;
374;Page 8;«Отойди!» Женщина протянула ко мне ладонь, а затем опустила подбородок, намекая: «Пожалуйста, успокойтесь».;
375;Page 9;«Блуждая наугад, вы ничего не добьетесь. Вы должны идти по пути. Пути отшельника, скрытому Флауросом…»;
376;Page 10;- Что? О чем ты говоришь? - еще раз спросил я, не скрывая своего недоумения.;
377;Page 11;«Вот, Флаурос, клетка мира. Она может прорваться сквозь стены тьмы и противодействовать гневу подземного мира. Это поможет тебе. Поспеши в больницу, пока не поздно».;
378;Page 12;Женщина подняла странный предмет, а затем мягко положила его на стол над алтарем. «Подождите! Не уходите еще!»;
379;Go to 6-2; Глава 6 «История Далии» Получив странную информацию, Гарри...;
380;Page 1 (Black);Я буду... А) Поверить рассказу этой женщины.;
381;Go to 6-3;Б) Ее история была неясной, и я ее не понимаю. Я не могу просто небрежно поверить ей.;
382;Go to 6-4;"Глава 6 ""История Далии""Гарри верит ее истории";
383;Page 1 (Black);Она живет здесь. Я предпочитаю верить ее рассказу без возражений.;
384;Go to 6-5;Глава 6 «История Далии»Гарри не может просто небрежно поверить ей;
385;Page 1 (Black);Я подумал, что поведение этой сумасшедшей женщины и подробности ее истории вызывают сомнения.;
386;Go to 6-5;"Глава 6 ""Церковь"" Остался совсем один";
387;Page 1 (Black);Все, что осталось в церкви, это отголоски звука закрывающейся двери. Я иду за этой женщиной. Я убежден, что эта женщина точно знает какую-то тайну. Однако ручка на двери, через которую она прошла, не поворачивается. вообще. Он должен быть заперт с другой стороны.;
388;Page 2;"""Черт!""Теперь я один остался в церкви. Это пространство словно взято из кошмара, в нем есть тепло. Это тепло, такое ощущение, что оно защищает меня от чего-то. Это лучший способ описать жару. .";
389;Page 3;Я отхожу от двери и иду к алтарю, у которого стояла женщина. Предмет, который женщина только что держала, был помещен туда.;
390;Page 4 (Flauros and key on altar);«Флаурос». Именно так его назвала та женщина. Я пытаюсь его поднять. И сразу же кладу обратно на стол.;
391;Page 5;Это сила. Непреодолимая сила богов покоится внутри этого четырехстороннего объекта. Это было ощущение, подобное электрическому току, прошедшему через мою ладонь, а затем сила, проходящая через каждый закоулок моего тела.;
392;Page 6;"Я беру его еще раз. На этот раз я спокойно беру его в руку, а затем кладу в карман. Почему-то я убежден, что этот предмет поможет мне найти Шерил. Глава 6 ""Церковь""Флаурос и ключ";
393;Page 7 (Black);"Подбираю ключ, который был рядом с Флауросом, открываю дверь церкви, и снова выбегаю в холодный снежный мир. Глава 6 ""Церковь"" Больница на картах";
394;Page 8 (Street, heavy fog);Больница? Та женщина определенно что-то говорила об одном из них. «Больница Алхемилла» Единственная больница, которую я смог найти на карте, была та самая.;
395;Page 9 (Drawbridge tower);Мост к развлекательному району подняли, чтобы лодки могли проходить по нему по реке внизу. Другими словами, он разделен посередине и закреплен в приподнятом положении, что делает его похожим на японский символ катакана ハ. Я вхожу в ближайшую диспетчерскую разводного моста, вставляю ключ, который держал, в панель управления и с силой поворачиваю его. Направо.;
396;Page 10;Издавая звук, похожий на смех старухи, мост, наконец, начинает опускаться, приглашая меня в район развлечений.;
397;Go to 7-1;Глава 7 «Поиск госпиталя»Расположение госпиталя Алкемилла;
398;Page 1 (Street corner, heavy fog);Перейдя мост, я вздрагиваю. Температура постепенно снижается. А может быть, это просто результат того, что во мне производит нервозность и страх.;
399;Page 2;На этой широкой дороге нет ни одного движущегося мотоцикла. Я бегу прямо по ее центру. Если я пойду вперед, больница Алкемилла должна быть справа.;
400;Page 3 (Hospital gate);В густом тумане появляется старое здание. На вывеске блеклыми буквами написано «Алхемилла». Его жуткость заставила меня на мгновение заколебаться, но в следующий момент я положил руку на холодные ворота.;
401;Page 4;Я открываю тяжелые ворота больницы, а затем открываю дверь прямо справа от меня, на которой написано «Вход».;
402;Page 5 (Hospital reception area);Внутри госпиталя царит тишина. Слева находится приемная, в которой на полке аккуратно разложены различные бумаги. Вдоль задней части этого зала выстроены скамейки для ожидания, и на них направлен телевизор.;
403;Page 6;Я не чувствую присутствия ни больных, ни даже каких-либо людей. Лишь слабый свет льется в окна с облачного неба. Зал наполнен следовым запахом алкоголя, который проникает в мой нос.;
404;Page 7;Я начинаю идти. Пройдя через зал ожидания, я достигаю длинного коридора. Я открываю дверь с надписью «Комната для осмотра».;
405;Page 8 (Examination room with Kaufmann);Почти одновременно с тем, как я открыл дверь, мужчина внутри вскочил со стула. В правой руке он держит пистолет.;
406;Go to 7-2; Глава 7 «Человек с ружьем» Встреча с Кауфманном;
407;Page 1 (Examination room with Kaufmann);И...А) в панике спрятался за дверь.;
408;Go to 7-3;Б) немедленно контратаковать из моего оружия.;
409;Go to 7-4;Глава 7 «Человек с ружьем»Гарри прячется за дверью;
410;Page 1 (Examination room with Kaufmann);«Подожди…» Я протягиваю правую руку, пытаясь остановить мужчину. «Держи… Стоп! Не стреляй! Подожди… Я здесь не для того, чтобы драться».;
411;Page 2 (Kaufmann lowers his gun);Мужчина успокаивается и опускает наготове правую руку. «Меня зовут Гарри Мейсон. Я в городе в отпуске». Я сказал все это без паузы, а затем мужчина глубоко вздохнул и начал говорить.;
412;Page 3;«Слава богу. Еще один человек». «Ты здесь работаешь?» Я действительно заново пережил. Сайлент Хилл, который стал местом обитания странных монстров... Эти слова показали его искренний интерес к ситуации.;
413;Go to 7-5;Глава 7 «Человек с ружьем»Гарри контратакует своим ружьем;
414;Page 1 (Examination room with Kaufmann, he lowers his gun);Я тут же приготовил пистолет. Этот пухлый мужчина, казалось, понял, что я человек, но как только он увидел пистолет, его глаза расширились.;
415;Page 2;"""Постой... Стой! Не стреляй! Подожди... Я здесь не для того, чтобы драться"". Боже. Еще один человек».";
416;Page 3;«Меня зовут Гарри Мейсон. Я в городе в отпуске… Вы здесь работаете?»;
417;Page 4;Мужчина кивнул. Я испытал истинное облегчение. Сайлент Хилл, который стал местом обитания странных монстров... Это мой первый контакт с кем-то из этого города.;
418;Go to 7-5;Глава 7 «Кауфманн»Расспрашивая о том, что случилось с городом;
419;Page 1 (Examination room with Kaufmann);«Я доктор Михаэль Кауфманн. Я работаю в этой больнице». «Может быть, вы можете рассказать мне, что происходит?» Человек, назвавшийся Кауфманном, снова шевельнулся в кресле, на котором он сидит.;
420;Page 2;"""Я действительно не могу сказать. Я спал в учительской. Когда я проснулся, все было так. Кажется, все исчезли. И идет снег. В это время года"".";
421;Page 3 (Dead monster on examination room floor);Он смотрит на пол смотровой. Там, на полу, на боку лежал труп еще теплого монстра.;
422;Page 4;«Что-то пошло не так. Ты видел этих чудовищ?;
423;Page 5 (Examination room with Kaufmann);А потом я повернулся к нему лицом, когда кое-что понял: «Вы где-нибудь видели маленькую девочку? Я ищу свою дочь. Ей всего семь лет. Короткие черные волосы».;
424;Page 6;«Она пропала? Мне очень жаль. Но со всеми этими монстрами вокруг я очень сомневаюсь, что она… Извините, я не хотел вас тревожить. Ваша жена, она здесь с вами?»;
425;Page 7;«Она умерла четыре года назад. Теперь остались только я и моя дочь». «Понятно… мне очень жаль. Что ж, мне пора идти. долго. Удачи там».;
426;Page 8 (Door of examination room);Хлопнуть. (Ономатопея закрывания двери) Дверь кабинета бессильно закрывается. Доктор Михаэль Кауфманн... Как ни странно, я полностью запомнил это имя.;
427;Page 9;«А?» Я вдруг замечаю, что на полу лежит что-то похожее на белый клочок бумаги.;
428;Page 10;«Что это?» Я беру его в руки. На нем беспорядочно нацарапаны буквы.;
429;Page 11;"""Прибытие завтра утром Будьте готовы""";
430;Go to 7-6;Глава 7 «Комната для осмотра»Таинственное послание;
431;Page 1 (Door of examination room);Что... это...?A) Проверьте, нет ли чего-нибудь еще.;
432;Go to 7-7;B) Идите за Кауфманном.;
433;Go to 7-8; Глава 7 «Комната для осмотра» Если есть что-то еще...;
434;Page 1 (Door of examination room);Я внимательно оглядываю пол, но не похоже, чтобы что-то еще интересное упало.;
435;Page 2;Я осматриваю экзаменационную комнату.;
436;Page 3 (Examination room, alternate angle);До недавнего времени это была обычная больничная палата с различными инструментами и инструментами повсюду, каждый из которых удачно расставлен по функциям. Только люди были стерты из этой нормальной сцены, что делало ситуацию неестественной.;
437;Page 4 (Black);Я выхожу из комнаты для осмотра. Я прохожу через медицинскую комнату и достигаю коридора с деревянным полом, который бесшумно тянется в форме буквы L. Я двинулся вперед и обнаружил, что в конце коридора есть лифт с большой дверью.;
438;Go to 7-9; Глава 7 «Комната для осмотра» В поисках Кауфманна;
439;Page 1 (Black);Я выхожу из кабинета. Кауфмана нигде нет. Я начинаю бежать.;
440;Page 2;Я прохожу через медицинскую комнату и достигаю коридора с деревянным полом, который бесшумно тянется в форме буквы L. Я двинулся вперед и обнаружил, что в конце коридора есть лифт с большой дверью.;
441;Go to 7-9;Глава 7 «Лифт»Гарри пытается нажимать на кнопки;
442;Page 1 (Black);Я пытаюсь нажать кнопки рядом с ним. Ничего не происходит. Похоже, что питание отключено.;
443;Page 2;В коридоре несколько дверей. Я начинаю открывать каждую по порядку. Глава 7 «Комната переговоров» Ключ на столе;
444;Page 3 (Meeting room);Я открываю дверь с надписью «Конференц-зал», вхожу внутрь и закрываю за собой дверь. В центре этой комнаты стоит большой стол, и я замечаю, что на нем что-то блестит.;
445;Page 4 (Black);Я беру светло-зеленый ключ, выхожу из комнаты и снова иду в холодный коридор.;
446;Page 5 (Kitchen);Следующая комната выглядит кухней. Думаю, здесь готовят еду для пациентов. На столешнице из нержавеющей стали аккуратно расставлены различные бронзовые кухонные принадлежности. Не похоже, чтобы здесь было что-то особенно важное.;
447;Page 6;Я внимательно просматриваю различную кухонную утварь. Внутри большой кастрюли......вообще ничего.;
448;Page 7;Продолжая искать, нет ли здесь какой-нибудь подсказки, я замечаю, что на дальней стене разбросаны разные предметы.;
449;Page 8;Я осторожно продвигаюсь вперед по мокрому полу, чтобы не поскользнуться. Что-то там есть.;
450;Go to 7-10;" Глава 7 ""Кухня"" Что-то там... (Кухня) Глава 7 ""Кухня"" Что-то там...";
451;Page 1 (Kitchen);Я протягиваю руку к предмету передо мной. А) Поднимите бутылку для домашних животных.;
452;Go to 7-11;(Этот выбор связан с автоматическим ответвлением, которое происходит в 15-1. Если вы хотите добраться до концовки А, то вы должны сделать этот выбор.) B) Возьмите кухонный нож.;
453;Go to 7-12;"(Этот выбор связан с автоматическим ответвлением, которое происходит в 15-1. Если вы хотите добраться до концовки B, вы можете сделать этот выбор.) 7 ""Кухня"" Возьмите бутылку для домашних животных.";
454;Page 1 (Kitchen);Я прохожу мимо одной из раковин и замечаю пустую бутылку для домашних животных, стоящую на краю прилавка.;
455;Page 2;«Возможно, это может пригодиться для чего-то», — бормочу я и хватаю пустую бутылочку. Затем я выхожу из кухни.;
456;Page 3 (Hospital corridor);Выйдя из кухни, я иду направо и кладу руку на первую попавшуюся дверь. Краем глаза замечаю слова «Кабинет директора», когда открываю дверь. Изнутри комнаты сильное зловоние вырывается наружу и вызывает у меня головокружение.;
457;Page 4 (Director's office);Кто-то обыскал комнату. За столом, который, вероятно, принадлежит директору, было разбито несколько бутылок, оставив красную и синюю жидкость, разлитую по всему полу.;
458;Go to 7-13; Глава 7 «Кухня» Поднимите кухонный нож;
459;Page 1 (Kitchen);Я подобрал нож, похоже, для кухни. «Возможно, он пригодится для чего-то…» У меня есть только ограниченное количество пуль. Когда придет время, я смогу использовать его как оружие. Я вышел из кухни.;
460;Go to 7-17; Глава 7 «Кабинет директора» Жидкость разлилась по всему полу;
461;Page 1 (Spilled liquid);Если я использую бутылку для домашних животных... A) Зачерпните красную жидкость.;
462;Go to 7-14;(Этот выбор связан с автоматическим ответвлением, которое происходит в 15-1. Если вы хотите добраться до концовки А, вы должны сделать этот выбор.) B) Зачерпните синюю жидкость.;
463;Go to 7-15;(Этот выбор связан с автоматическим ответвлением, которое происходит в 15-1. Если вы хотите добраться до концовки B, то вы должны выбрать это или C.) C ) Зачерпните смесь фиолетовой жидкости.;
464;Go to 7-16;(Этот выбор связан с автоматическим ответвлением, которое происходит в 15-1. Если вы хотите добраться до концовки B, то вы должны выбрать это или B.) Пролитая жидкость) Глава 7 «Кабинет директора» Зачерпните красную жидкость;
465;Page 1 (Spilled liquid);Я... достаю бутылочку и использую осколок нижней части одной из разбитых бутылок, чтобы налить в нее красную жидкость.;
466;Page 2;Липкая жидкость капает в пэтбутылку. Последняя капля задержалась, но как только она наконец коснулась поверхности жидкости, уже находящейся внутри пэтбутылки, я плотно закрыл крышку и вышел из кабинета директора.;
467;Go to 7-17;" Глава 7 ""Кабинет директора"" Зачерпнуть синюю жидкость";
468;Page 1 (Spilled liquid);Я... достаю бутылочку и использую осколок нижней части одной из разбитых бутылок, чтобы налить в нее синюю жидкость.;
469;Page 2;Липкая жидкость капает в пэтбутылку. Последняя капля задержалась, но как только она наконец коснулась поверхности жидкости, уже находящейся внутри пэтбутылки, я плотно закрыл крышку и вышел из кабинета директора.;
470;Go to 7-17; Глава 7 «Кабинет директора» Зачерпните фиолетовую жидкость;
471;Page 1 (Spilled liquid);Я... достаю бутылку для животных и использую осколок нижней части одной из разбитых бутылок, чтобы налить в нее фиолетовую жидкость.;
472;Page 2;Липкая жидкость капает в пэтбутылку. Последняя капля задержалась, но как только она наконец коснулась поверхности жидкости, уже находящейся внутри пэтбутылки, я плотно закрыл крышку и вышел из кабинета директора.;
473;Go to 7-17; Глава 7 «Больничный коридор» Лестница, ведущая в глубокий подвал;
474;Page 1 (Black);Я еще раз выполз в коридор и остановился перед ближайшей к лифту дверью.;
475;Page 2;Я открываю дверь, и отзвуки ее открывания и закрывания сотрясают мои барабанные перепонки. Стены бетонные. Несколько ступеней лестницы, ведущей в подвал, простираются, как складки, внутри тела змеи.;
476;Page 3 (Stairs, animated);Там темно и плохо видно, но похоже, что внизу лестницы есть дверь.;
477;Page 4;Будь смелым, бормочу я себе под нос. Оставляя только отголоски своих шагов, я спускаюсь по лестнице в ад, шаг за шагом. А затем открываю дверь, ведущую во тьму. Глава 7 «Больничный коридор» «Мир потерял свет» Глава 7 «Больничный коридор» Мир без света;
478;Page 5 (Black);Мир без света Я мог видеть, что электричество, скорее всего, было отключено во всей больнице. Я нажал выключатель фонарика на груди и попытался осветить помещение.;
479;Page 6 (Dark hospital floor);Это жутко, и все же нет ничего заметно неуместного. Холодный воздух веет от холодного бетона, и кажется, что прикосновение к нему полностью лишит мое тело его тепла.;
